연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1958,0,0,1,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,1,0,1,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,4,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,1,0,0,0,0,0,0,2,1
1966,0,1,0,2,0,0,0,0,0,0,0,0
1967,0,0,3,1,0,0,0,0,0,0,0,0
1968,0,0,0,3,1,0,0,0,0,0,0,0
1969,0,0,0,3,1,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,1,0,0,0,0,0,0,0,0
1972,0,0,0,0,1,0,0,0,0,0,0,0
1973,0,0,0,0,2,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,3,0,0,0,0,0,0,0,0
1976,0,0,2,4,0,0,0,0,0,0,0,0
1977,0,3,3,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,4,0,0,0,0,0,0,0,0
1980,0,0,0,2,3,0,0,0,0,0,0,0
1981,0,0,2,1,7,0,0,0,0,0,0,0
1982,0,0,0,0,5,0,0,0,0,0,0,0
1983,0,0,0,3,2,0,0,0,0,0,0,0
1984,0,0,2,1,2,0,0,0,0,0,0,0
1985,0,0,2,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,1,0,0,0,0,0,0,0,0,0
1988,0,0,0,8,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,3,0,0,0,0,0,0,0,0
1991,0,0,0,0,7,0,0,0,0,0,1,3
1992,0,0,0,8,0,0,0,0,0,0,0,0
1993,0,0,0,10,4,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,11,2,0,0,0,0,0,0,0
1996,0,0,0,0,1,0,0,0,0,0,0,0
1997,0,0,1,0,0,0,0,0,0,0,0,0
1998,0,0,3,10,0,0,0,0,0,0,0,0
1999,4,1,0,1,0,0,0,0,0,0,0,0
2000,0,0,5,5,0,0,0,0,0,0,0,0
2001,1,0,11,9,4,0,0,0,0,0,0,2
2002,2,0,6,6,0,0,0,0,0,0,2,0
2003,0,0,1,2,0,0,0,0,0,0,0,0
2004,0,1,4,1,0,0,0,0,0,0,0,0
2005,0,0,1,9,0,0,0,0,0,0,2,0
2006,0,0,3,7,1,0,0,0,0,0,0,0
2007,0,1,4,2,4,0,0,0,0,0,0,1
2008,0,1,3,2,2,0,0,0,0,0,0,3
2009,0,1,3,0,0,0,0,0,1,1,0,3
2010,1,0,4,1,2,0,0,0,0,0,3,4
2011,0,0,3,0,6,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,1,0
2013,0,0,3,0,0,0,0,0,0,0,0,0
2014,1,1,2,0,4,0,0,0,0,0,1,1
2015,1,4,8,2,0,0,0,0,0,0,0,0
2016,0,0,2,4,1,0,0,0,0,0,0,0
2017,1,0,0,1,5,0,0,0,0,0,3,0
2018,0,0,0,2,1,0,0,0,0,0,2,0
2019,0,0,0,0,0,0,0,0,0,1,2,0
2020,0,1,0,1,1,0,0,0,0,1,2,0
2021,2,0,5,2,5,0,0,0,0,0,0,0
